[0/6] CSV okundu. Toplam satır: 4537 | com: 3714 | de: 820
[1/6] Benzersiz değerler çıkarılıyor...
[1/6] Tamam. Süre: 0.01 sn | Benzersiz Title (com): 3304 | (de): 735 | Benzersiz Category (com): 108 | (de): 28

[2/6] Title çevirileri başlıyor...
[Title EN->TR] Başlıyor | src=en dest=tr | toplam benzersiz=3304
[Title EN->TR] İlerleme 25/3304 | ok=25 fail=0 | hız=3.71/sn | kalan~14.7 dk
[Title EN->TR] İlerleme 50/3304 | ok=50 fail=0 | hız=2.17/sn | kalan~25.0 dk
[Title EN->TR] İlerleme 75/3304 | ok=75 fail=0 | hız=1.85/sn | kalan~29.0 dk
[Title EN->TR] İlerleme 100/3304 | ok=100 fail=0 | hız=1.75/sn | kalan~30.5 dk
[Title EN->TR] İlerleme 125/3304 | ok=125 fail=0 | hız=1.69/sn | kalan~31.3 dk
[Title EN->TR] İlerleme 150/3304 | ok=150 fail=0 | hız=1.65/sn | kalan~31.9 dk
[Title EN->TR] İlerleme 175/3304 | ok=175 fail=0 | hız=1.57/sn | kalan~33.2 dk
[Title EN->TR] İlerleme 200/3304 | ok=200 fail=0 | hız=1.49/sn | kalan~34.7 dk
[Title EN->TR] İlerleme 225/3304 | ok=225 fail=0 | hız=1.45/sn | kalan~35.3 dk
[Title EN->TR] İlerleme 250/3304 | ok=250 fail=0 | hız=1.45/sn | kalan~35.0 dk
[Title EN->TR] İlerleme 275/3304 | ok=275 fail=0 | hız=1.44/sn | kalan~35.0 dk
[Title EN->TR] İlerleme 300/3304 | ok=300 fail=0 | hız=1.42/sn | kalan~35.4 dk
[Title EN->TR] İlerleme 325/3304 | ok=325 fail=0 | hız=1.43/sn | kalan~34.7 dk
[Title EN->TR] İlerleme 350/3304 | ok=350 fail=0 | hız=1.43/sn | kalan~34.3 dk
[Title EN->TR] İlerleme 375/3304 | ok=375 fail=0 | hız=1.43/sn | kalan~34.1 dk
[Title EN->TR] İlerleme 400/3304 | ok=400 fail=0 | hız=1.43/sn | kalan~33.8 dk
[Title EN->TR] İlerleme 425/3304 | ok=425 fail=0 | hız=1.43/sn | kalan~33.5 dk
[Title EN->TR] İlerleme 450/3304 | ok=450 fail=0 | hız=1.43/sn | kalan~33.3 dk
[Title EN->TR] İlerleme 475/3304 | ok=475 fail=0 | hız=1.44/sn | kalan~32.8 dk
[Title EN->TR] İlerleme 500/3304 | ok=500 fail=0 | hız=1.43/sn | kalan~32.6 dk
[Title EN->TR] İlerleme 525/3304 | ok=525 fail=0 | hız=1.43/sn | kalan~32.4 dk
[Title EN->TR] İlerleme 550/3304 | ok=550 fail=0 | hız=1.42/sn | kalan~32.2 dk
[Title EN->TR] İlerleme 575/3304 | ok=575 fail=0 | hız=1.42/sn | kalan~32.0 dk
[Title EN->TR] İlerleme 600/3304 | ok=600 fail=0 | hız=1.42/sn | kalan~31.8 dk
[Title EN->TR] İlerleme 625/3304 | ok=625 fail=0 | hız=1.42/sn | kalan~31.5 dk
[Title EN->TR] İlerleme 650/3304 | ok=650 fail=0 | hız=1.42/sn | kalan~31.2 dk
[Title EN->TR] İlerleme 675/3304 | ok=675 fail=0 | hız=1.41/sn | kalan~31.0 dk
[Title EN->TR] İlerleme 700/3304 | ok=700 fail=0 | hız=1.41/sn | kalan~30.8 dk
[Title EN->TR] İlerleme 725/3304 | ok=725 fail=0 | hız=1.41/sn | kalan~30.5 dk
[Title EN->TR] İlerleme 750/3304 | ok=750 fail=0 | hız=1.41/sn | kalan~30.2 dk
[Title EN->TR] İlerleme 775/3304 | ok=775 fail=0 | hız=1.40/sn | kalan~30.1 dk
[Title EN->TR] İlerleme 800/3304 | ok=800 fail=0 | hız=1.40/sn | kalan~29.9 dk
[Title EN->TR] İlerleme 825/3304 | ok=825 fail=0 | hız=1.40/sn | kalan~29.6 dk
[Title EN->TR] İlerleme 850/3304 | ok=850 fail=0 | hız=1.38/sn | kalan~29.6 dk
[Title EN->TR] İlerleme 875/3304 | ok=875 fail=0 | hız=1.38/sn | kalan~29.4 dk
[Title EN->TR] İlerleme 900/3304 | ok=900 fail=0 | hız=1.39/sn | kalan~28.8 dk
[Title EN->TR] İlerleme 925/3304 | ok=925 fail=0 | hız=1.39/sn | kalan~28.6 dk
[Title EN->TR] İlerleme 950/3304 | ok=950 fail=0 | hız=1.39/sn | kalan~28.3 dk
[Title EN->TR] İlerleme 975/3304 | ok=975 fail=0 | hız=1.38/sn | kalan~28.0 dk
[Title EN->TR] İlerleme 1000/3304 | ok=1000 fail=0 | hız=1.38/sn | kalan~27.7 dk
[Title EN->TR] İlerleme 1025/3304 | ok=1025 fail=0 | hız=1.39/sn | kalan~27.4 dk
